1.0000000E+00,-8.3789999E-02,1.2646610E+00,-9.3075372E-02,-2.4928062E-01,2.0394270E-01,-1.2968238E+00,1.0970926E+00,6.3689812E-01,1.7379121E-01,1.6210473E-01,1.0986808E-01,-4.5438237E-01,-2.8006092E-01,-2.9331338E-01,7.2062911E-01,1.0705310E+00,2.3981940E-01,1.0599165E+00,-2.5445541E-01,-1.2439287E+00
2.0000000E+00,6.2169236E-01,1.6449306E+00,-8.6351618E-01,-1.8989517E+00,-3.3133879E-01,-1.2328384E+00,-1.1508075E+00,-1.2406202E+00,-2.9829791E-01,1.7653093E-01,1.9886304E+00,-6.0544101E-01,-1.8555532E+00,-4.8093911E-01,-1.7612818E+00,9.2013073E-01,3.5780370E-01,-1.6907055E-01,-4.2432474E-01,8.3265704E-02
2.0000000E+00,-8.6117411E-01,4.2550738E-01,-1.7451957E-01,-6.1589438E-01,2.6131683E-01,8.5749765E-01,1.2527516E+00,7.4173448E-01,1.4456510E+00,1.8718074E+00,-2.6602131E-01,-1.9399801E+00,-2.6041638E-01,-1.1557825E+00,8.8847003E-01,-5.7524833E-01,9.3667681E-01,-2.2977734E-01,1.4330958E-01,-1.2869406E+00
2.0000000E+00,-6.5748735E-01,-1.2307289E+00,1.5225980E+00,-1.0179334E+00,1.0709247E+00,1.2088689E+00,-6.6394885E-01,1.0509011E+00,1.5075574E+00,1.2293459E+00,-9.5582389E-01,1.2319600E+00,6.5371545E-01,2.5149312E-01,-3.2938151E-01,2.1373880E+00,1.1376575E+00,1.0554006E+00,-1.2024886E+00,-3.7921191E-02
1.0000000E+00,2.9980937E-01,-1.8077479E-01,-5.3915044E-02,1.2419885E+00,9.0368793E-01,9.4830794E-01,7.8697183E-01,-8.3339877E-01,7.5495991E-01,-6.7557749E-01,7.9512460E-01,1.9284151E+00,1.6146326E+00,-3.1261063E-02,-2.2441656E-02,-1.8679170E+00,1.0875352E-01,3.4200251E-01,7.2490791E-01,-5.2363609E-01
2.0000000E+00,-1.1144652E+00,2.9249976E-01,8.6914780E-02,-2.2931561E+00,-1.1094095E-02,6.6996706E-01,3.7739628E-02,-4.9395573E-01,1.7477078E-01,-2.5001952E-01,9.8357449E-01,-3.4460241E-01,-6.6934674E-01,-3.9683786E-01,-5.0081269E-01,8.7429721E-02,5.9039230E-01,-2.5357285E-01,7.8165649E-01,7.5792024E-01
2.0000000E+00,-8.6404058E-01,1.2470950E-01,-2.3999717E+00,-4.7618327E-02,1.1098270E+00,-9.4359702E-01,6.0646588E-01,-2.3301940E-01,-6.9683918E-01,4.6677139E-01,-2.8223078E-01,1.0714577E-01,-7.1376591E-01,2.2129250E+00,-9.3844744E-02,1.5475783E+00,-3.6463443E-01,-1.5074084E+00,-5.1052577E-01,-8.1846174E-01
2.0000000E+00,4.2084836E-01,-1.8447404E+00,-2.7498081E+00,-1.3495464E+00,6.0994233E-01,1.0913897E+00,-1.1428443E+00,3.7425968E-01,-1.2296816E-01,3.2006317E-01,-5.3284696E-01,6.4678689E-01,1.2821073E+00,-2.8807474E-01,2.0628917E+00,8.6618627E-02,-1.2384906E+00,7.2785478E-02,5.4423968E-02,-1.0283408E+00
2.0000000E+00,-2.8290513E-03,-4.8538983E-01,-8.4324215E-01,-2.4528133E+00,-3.4221414E-01,2.0605168E-01,-7.5878973E-01,1.2908842E+00,-1.4875246E+00,1.3884696E-01,2.7814726E-01,-6.5595056E-01,9.5600519E-01,7.6438503E-02,1.5917077E+00,-5.6003307E-01,1.2543092E+00,-4.4203316E-01,2.5931674E-01,-9.5880201E-01
2.0000000E+00,-1.1474083E-01,1.4598850E+00,-3.8274300E-01,-6.5161866E-01,-8.2645096E-01,5.9174536E-01,1.0738612E+00,-1.4423512E+00,6.5084562E-01,8.9072818E-01,-2.3487795E+00,2.6595021E-02,-5.4040103E-01,1.7788519E+00,-9.3680813E-01,3.0465467E-01,-3.7899520E-01,1.4554102E+00,2.0917880E-01,-2.7465281E-01
